1457|Walhain-Saint-Paul|Waals-Brabant|Walhain-Saint-Paul|Brabant Wallon
1460|ITTRE|Waals-Brabant|ITTRE|Brabant Wallon
1460|Virginal-Samme|Waals-Brabant|Virginal-Samme|Brabant Wallon
1461|Haut-Ittre|Waals-Brabant|Haut-Ittre|Brabant Wallon
1470|Baisy-Thy|Waals-Brabant|Baisy-Thy|Brabant Wallon
1470|Bousval|Waals-Brabant|Bousval|Brabant Wallon
1470|GENAPPE|Waals-Brabant|GENAPPE|Brabant Wallon
1471|Loupoigne|Waals-Brabant|Loupoigne|Brabant Wallon
1472|Vieux-Genappe|Waals-Brabant|Vieux-Genappe|Brabant Wallon
1473|Glabais|Waals-Brabant|Glabais|Brabant Wallon
1474|Ways|Waals-Brabant|Ways|Brabant Wallon
1476|Houtain-Le-Val|Waals-Brabant|Houtain-Le-Val|Brabant Wallon
1480|Clabecq|Waals-Brabant|Clabecq|Brabant Wallon
1480|Oisquercq|Waals-Brabant|Oisquercq|Brabant Wallon
1480|Saintes|Waals-Brabant|Saintes|Brabant Wallon
1480|TUBIZE|Waals-Brabant|TUBIZE|Brabant Wallon
1490|COURT-SAINT-ETIENNE|Waals-Brabant|COURT-SAINT-ETIENNE|Brabant Wallon
1495|Marbais|Waals-Brabant|Marbais|Brabant Wallon
1495|Mellery|Waals-Brabant|Mellery|Brabant Wallon
1495|Sart-Dames-Avelines|Waals-Brabant|Sart-Dames-Avelines|Brabant Wallon
1495|Tilly|Waals-Brabant|Tilly|Brabant Wallon
1495|VILLERS-LA-VILLE|Waals-Brabant|VILLERS-LA-VILLE|Brabant Wallon
1500|HALLE|Vlaams-Brabant|HALLE|Brabant Flamand
1501|Buizingen|Vlaams-Brabant|Buizingen|Brabant Flamand
1502|Lembeek|Vlaams-Brabant|Lembeek|Brabant Flamand
1540|Herfelingen|Vlaams-Brabant|Herfelingen|Brabant Flamand
1540|HERNE|Vlaams-Brabant|HERNE|Brabant Flamand
1541|Sint-Pieters-Kapelle|Vlaams-Brabant|Sint-Pieters-Kapelle|Brabant Flamand
1547|BEVER|Vlaams-Brabant|BIÉVÈNE|Brabant Flamand
1560|HOEILAART|Vlaams-Brabant|HOEILAART|Brabant Flamand
1570|GALMAARDEN|Vlaams-Brabant|GALMAARDEN|Brabant Flamand
1570|Tollembeek|Vlaams-Brabant|Tollembeek|Brabant Flamand
1570|Vollezele|Vlaams-Brabant|Vollezele|Brabant Flamand
1600|Oudenaken|Vlaams-Brabant|Oudenaken|Brabant Flamand
1600|Sint-Laureins-Berchem|Vlaams-Brabant|Sint-Laureins-Berchem|Brabant Flamand
1600|SINT-PIETERS-LEEUW|Vlaams-Brabant|SINT-PIETERS-LEEUW|Brabant Flamand
1601|Ruisbroek|Vlaams-Brabant|Ruisbroek|Brabant Flamand
1602|Vlezenbeek|Vlaams-Brabant|Vlezenbeek|Brabant Flamand
1620|DROGENBOS|Vlaams-Brabant|DROGENBOS|Brabant Flamand
1630|LINKEBEEK|Vlaams-Brabant|LINKEBEEK|Brabant Flamand
1640|SINT-GENESIUS-RODE|Vlaams-Brabant|RHODE-SAINT-GENÈSE|Brabant Flamand
1650|BEERSEL|Vlaams-Brabant|BEERSEL|Brabant Flamand
1651|Lot|Vlaams-Brabant|Lot|Brabant Flamand
1652|Alsemberg|Vlaams-Brabant|Alsemberg|Brabant Flamand
1653|Dworp|Vlaams-Brabant|Dworp|Brabant Flamand
1654|Huizingen|Vlaams-Brabant|Huizingen|Brabant Flamand
1670|Bogaarden|Vlaams-Brabant|Bogaarden|Brabant Flamand
1670|Heikruis|Vlaams-Brabant|Heikruis|Brabant Flamand
1670|PEPINGEN|Vlaams-Brabant|PEPINGEN|Brabant Flamand
1671|Elingen|Vlaams-Brabant|Elingen|Brabant Flamand
1673|Beert|Vlaams-Brabant|Beert|Brabant Flamand
1674|Bellingen|Vlaams-Brabant|Bellingen|Brabant Flamand
1700|DILBEEK|Vlaams-Brabant|DILBEEK|Brabant Flamand
1700|Sint-Martens-Bodegem|Vlaams-Brabant|Sint-Martens-Bodegem|Brabant Flamand
1700|Sint-Ulriks-Kapelle|Vlaams-Brabant|Sint-Ulriks-Kapelle|Brabant Flamand
1701|Itterbeek|Vlaams-Brabant|Itterbeek|Brabant Flamand
1702|Groot-Bijgaarden|Vlaams-Brabant|Groot-Bijgaarden|Brabant Flamand
1703|Schepdaal|Vlaams-Brabant|Schepdaal|Brabant Flamand
1730|ASSE|Vlaams-Brabant|ASSE|Brabant Flamand
1730|Bekkerzeel|Vlaams-Brabant|Bekkerzeel|Brabant Flamand
1730|Kobbegem|Vlaams-Brabant|Kobbegem|Brabant Flamand
1730|Mollem|Vlaams-Brabant|Mollem|Brabant Flamand
1731|Relegem|Vlaams-Brabant|Relegem|Brabant Flamand
1731|Zellik|Vlaams-Brabant|Zellik|Brabant Flamand
1733|HighCo DATA||HighCo DATA|
1740|TERNAT|Vlaams-Brabant|TERNAT|Brabant Flamand
1741|Wambeek|Vlaams-Brabant|Wambeek|Brabant Flamand
1742|Sint-Katherina-Lombeek|Vlaams-Brabant|Sint-Katherina-Lombeek|Brabant Flamand
1745|Mazenzele|Vlaams-Brabant|Mazenzele|Brabant Flamand
1745|OPWIJK|Vlaams-Brabant|OPWIJK|Brabant Flamand
1750|Gaasbeek|Vlaams-Brabant|Gaasbeek|Brabant Flamand
1750|LENNIK|Vlaams-Brabant|LENNIK|Brabant Flamand
1750|Sint-Kwintens-Lennik|Vlaams-Brabant|Sint-Kwintens-Lennik|Brabant Flamand
1750|Sint-Martens-Lennik|Vlaams-Brabant|Sint-Martens-Lennik|Brabant Flamand
1755|GOOIK|Vlaams-Brabant|GOOIK|Brabant Flamand
1755|Kester|Vlaams-Brabant|Kester|Brabant Flamand
1755|Leerbeek|Vlaams-Brabant|Leerbeek|Brabant Flamand
1755|Oetingen|Vlaams-Brabant|Oetingen|Brabant Flamand
1760|Onze-Lieve-Vrouw-Lombeek|Vlaams-Brabant|Onze-Lieve-Vrouw-Lombeek|Brabant Flamand
1760|Pamel|Vlaams-Brabant|Pamel|Brabant Flamand
1760|ROOSDAAL|Vlaams-Brabant|ROOSDAAL|Brabant Flamand
1760|Strijtem|Vlaams-Brabant|Strijtem|Brabant Flamand
1761|Borchtlombeek|Vlaams-Brabant|Borchtlombeek|Brabant Flamand
1770|LIEDEKERKE|Vlaams-Brabant|LIEDEKERKE|Brabant Flamand
